goos: linux
goarch: amd64
pkg: goalgo/roaring_bitmaps/bench
cpu: AMD Ryzen AI 9 HX PRO 370 w/ Radeon 890M       
BenchmarkSIMDAndCardinality/simd=off/data=runs-24     	   23265	     10064 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDAndCardinality/simd=off/data=runs-24     	   23001	     10029 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDAndCardinality/simd=off/data=zipf-24     	      55	   3825494 ns/op	  609888 B/op	    6524 allocs/op
BenchmarkSIMDAndCardinality/simd=off/data=zipf-24     	      55	   3896014 ns/op	  609894 B/op	    6524 allocs/op
BenchmarkSIMDAndCardinality/simd=off/data=zipf-24     	      43	   4689693 ns/op	  609890 B/op	    6524 allocs/op
BenchmarkSIMDAndCardinality/simd=off/data=zipf-24     	      60	   4043044 ns/op	  609889 B/op	    6524 allocs/op
BenchmarkSIMDAndCardinality/simd=off/data=zipf-24     	      54	   3926181 ns/op	  609888 B/op	    6524 allocs/op
BenchmarkSIMDAndCardinality/simd=off/data=zipf-24     	      56	   3810393 ns/op	  609888 B/op	    6524 allocs/op
BenchmarkSIMDAndCardinality/simd=off/data=zipf-24     	      57	   3879135 ns/op	  609891 B/op	    6524 allocs/op
BenchmarkSIMDAndCardinality/simd=off/data=zipf-24     	      57	   3711642 ns/op	  609888 B/op	    6524 allocs/op
BenchmarkSIMDAndCardinality/simd=off/data=zipf-24     	      58	   3725024 ns/op	  609888 B/op	    6524 allocs/op
BenchmarkSIMDAndCardinality/simd=off/data=zipf-24     	      57	   3772996 ns/op	  609888 B/op	    6524 allocs/op
BenchmarkSIMDToArray/simd=off/data=sparse-24          	     153	   1467768 ns/op	  802816 B/op	       1 allocs/op
BenchmarkSIMDToArray/simd=off/data=sparse-24          	     157	   1488801 ns/op	  802816 B/op	       1 allocs/op
BenchmarkSIMDToArray/simd=off/data=sparse-24          	     138	   1679233 ns/op	  802817 B/op	       1 allocs/op
BenchmarkSIMDToArray/simd=off/data=sparse-24          	     159	   1519951 ns/op	  802816 B/op	       1 allocs/op
BenchmarkSIMDToArray/simd=off/data=sparse-24          	     154	   1541821 ns/op	  802816 B/op	       1 allocs/op
BenchmarkSIMDToArray/simd=off/data=sparse-24          	     172	   1371166 ns/op	  802816 B/op	       1 allocs/op
BenchmarkSIMDToArray/simd=off/data=sparse-24          	     180	   1350794 ns/op	  802816 B/op	       1 allocs/op
BenchmarkSIMDToArray/simd=off/data=sparse-24          	     168	   1472402 ns/op	  802817 B/op	       1 allocs/op
BenchmarkSIMDToArray/simd=off/data=sparse-24          	     168	   1455480 ns/op	  802816 B/op	       1 allocs/op
BenchmarkSIMDToArray/simd=off/data=sparse-24          	     164	   1456030 ns/op	  802816 B/op	       1 allocs/op
BenchmarkSIMDToArray/simd=off/data=runs-24            	     522	    495748 ns/op	 1150980 B/op	      13 allocs/op
BenchmarkSIMDToArray/simd=off/data=runs-24            	     421	    528815 ns/op	 1150978 B/op	      13 allocs/op
BenchmarkSIMDToArray/simd=off/data=runs-24            	     426	    540153 ns/op	 1150978 B/op	      13 allocs/op
BenchmarkSIMDToArray/simd=off/data=runs-24            	     439	    535034 ns/op	 1150977 B/op	      13 allocs/op
BenchmarkSIMDToArray/simd=off/data=runs-24            	     432	    545775 ns/op	 1150978 B/op	      13 allocs/op
BenchmarkSIMDToArray/simd=off/data=runs-24            	     538	    453779 ns/op	 1150982 B/op	      13 allocs/op
BenchmarkSIMDToArray/simd=off/data=runs-24            	     532	    465590 ns/op	 1150980 B/op	      13 allocs/op
BenchmarkSIMDToArray/simd=off/data=runs-24            	     525	    496594 ns/op	 1150978 B/op	      13 allocs/op
BenchmarkSIMDToArray/simd=off/data=runs-24            	     484	    491824 ns/op	 1150979 B/op	      13 allocs/op
BenchmarkSIMDToArray/simd=off/data=runs-24            	     568	    480884 ns/op	 1150978 B/op	      13 allocs/op
BenchmarkSIMDToArray/simd=off/data=zipf-24            	     694	    346601 ns/op	  802816 B/op	       1 allocs/op
BenchmarkSIMDToArray/simd=off/data=zipf-24            	     614	    364578 ns/op	  802816 B/op	       1 allocs/op
BenchmarkSIMDToArray/simd=off/data=zipf-24            	     710	    374468 ns/op	  802817 B/op	       1 allocs/op
BenchmarkSIMDToArray/simd=off/data=zipf-24            	     477	    432095 ns/op	  802816 B/op	       1 allocs/op
BenchmarkSIMDToArray/simd=off/data=zipf-24            	     559	    364021 ns/op	  802816 B/op	       1 allocs/op
BenchmarkSIMDToArray/simd=off/data=zipf-24            	     710	    311543 ns/op	  802816 B/op	       1 allocs/op
BenchmarkSIMDToArray/simd=off/data=zipf-24            	     691	    344320 ns/op	  802816 B/op	       1 allocs/op
BenchmarkSIMDToArray/simd=off/data=zipf-24            	     574	    381990 ns/op	  802816 B/op	       1 allocs/op
BenchmarkSIMDToArray/simd=off/data=zipf-24            	     745	    318620 ns/op	  802816 B/op	       1 allocs/op
BenchmarkSIMDToArray/simd=off/data=zipf-24            	     676	    437327 ns/op	  802817 B/op	       1 allocs/op
PASS
ok  	goalgo/roaring_bitmaps/bench	67.438s
goos: linux
goarch: amd64
pkg: goalgo/roaring_bitmaps/bench
cpu: AMD Ryzen AI 9 HX PRO 370 w/ Radeon 890M       
BenchmarkSIMDContains/simd=on/data=sparse-24         	 1000000	       249.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDContains/simd=on/data=sparse-24         	  985778	       235.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDContains/simd=on/data=sparse-24         	 1000000	       239.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDContains/simd=on/data=sparse-24         	 1000000	       230.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDContains/simd=on/data=sparse-24         	 1000000	       240.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDContains/simd=on/data=sparse-24         	 1000000	       233.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDContains/simd=on/data=sparse-24         	 1000000	       238.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDContains/simd=on/data=sparse-24         	 1000000	       237.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDContains/simd=on/data=sparse-24         	 1000000	       233.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDContains/simd=on/data=sparse-24         	 1000000	       230.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDContains/simd=on/data=runs-24           	18320600	        12.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDContains/simd=on/data=runs-24           	19881846	        12.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDContains/simd=on/data=runs-24           	18532087	        12.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDContains/simd=on/data=runs-24           	18586683	        12.62 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDContains/simd=on/data=runs-24           	19797618	        12.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDContains/simd=on/data=runs-24           	18760104	        12.35 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDContains/simd=on/data=runs-24           	19859840	        12.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDContains/simd=on/data=runs-24           	19294275	        12.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDContains/simd=on/data=runs-24           	20878873	        11.80 ns/op	       0 B/op	       0 allocs/op
